name,genre,type,community_rating
kuroko no basket 2nd season,"Comedy, School, Shounen, Sports",TV,8.500674596475053
major s5,"Comedy, Drama, Romance, Sports",TV,8.053791086647006
one piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,8.541012770671225
ghost in the shell stand alone complex 2nd gig,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,8.408332656771146
jojo no kimyou na bouken diamond wa kudakenai,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,8.331069033339768
kara no kyoukai 7 satsujin kousatsu kou,"Action, Mystery, Romance, Supernatural, Thriller",Movie,8.3801322711017
kingdom 2nd season,"Action, Historical, Military, Seinen",TV,8.079494756255581
slam dunk,"Comedy, Drama, School, Shounen, Sports",TV,8.344155517074762
usagi drop,"Josei, Slice of Life",TV,8.462780816941924
girls und panzer der film,"Military, School",Movie,7.986709213762205
mob psycho 100,"Action, Comedy, Slice of Life, Supernatural",TV,8.452701067327057
nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,8.454367362561722
baccano,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,8.487208784086025
mushishi zoku shou odoro no michi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,8.087358806087124
shingeki no kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,8.518277588764898
bakuman 2nd season,"Comedy, Drama, Romance, Shounen",TV,8.408401462902424
cross game,"Comedy, Drama, Romance, School, Sports",TV,8.217040378954472
doukyuusei movie,"Romance, School, Shounen Ai, Slice of Life",Movie,8.019024014086979
evangelion 20 you can not advance,"Action, Mecha, Sci-Fi",Movie,8.427853853867552
shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,8.464260710500893
uchuu senkan yamato 2199,"Action, Drama, Military, Sci-Fi, Space",OVA,8.165236104548974
chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports",TV,8.316031102701547
fatezero,"Action, Fantasy, Supernatural",TV,8.468128441656832
jojo no kimyou na bouken tv,"Action, Adventure, Shounen, Supernatural, Vampire",TV,8.412880005748915
mahou shoujo madokamagica,"Drama, Magic, Psychological, Thriller",TV,8.468956607365309
nichijou,"Comedy, School, Slice of Life",TV,8.446163891438335
psychopass,"Action, Police, Psychological, Sci-Fi",TV,8.46279041493162
barakamon,"Comedy, Slice of Life",TV,8.41802414456526
diamond no ace second season,"Comedy, School, Shounen, Sports",TV,8.097876857864513
magi the kingdom of magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,8.424176545600112
mahou shoujo madokamagica movie 3 hangyaku no monogatari,"Drama, Magic, Psychological, Thriller",Movie,8.367100057496286
major world series,"Comedy, Drama, Sports",OVA,7.655854543169604
samurai champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,8.451704439847347
shokugeki no souma ni no sara,"Ecchi, School, Shounen",TV,8.400778139065403
katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,8.401391423610118
mahou shoujo madokamagica movie 2 eien no monogatari,"Drama, Magic, Psychological, Thriller",Movie,8.287488273332745
major s6,"Comedy, Drama, Sports",TV,7.9292410603595345
mononoke,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",TV,8.294675881181355
shirobako,"Comedy, Drama",TV,8.367190965971876
ashita no joe 2,"Drama, Sports",TV,7.263960230891726
hunter x hunter,"Action, Adventure, Shounen, Super Power",TV,8.371260404465199
noragami aragoto,"Action, Adventure, Shounen, Supernatural",TV,8.418144315389675
sakamichi no apollon,"Drama, Josei, Music, Romance, School",TV,8.357558288620403
tonari no totoro,"Adventure, Comedy, Supernatural",Movie,8.41199038627084
ghost in the shell stand alone complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,8.376778886104866
kaze no tani no nausicaä,"Adventure, Fantasy",Movie,8.345516370151584
no game no life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,8.438921825384101
romeo no aoi sora,"Adventure, Drama, Historical, Slice of Life",TV,7.6948588554560615
yuuyuuhakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,8.377018697842084
kino no tabi the beautiful world,"Action, Adventure, Slice of Life",TV,8.29150873433775
kuroko no basket,"Comedy, School, Shounen, Sports",TV,8.40560351483682
nodame cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,8.346367226587123
ookami to koushinryou ii,"Adventure, Fantasy, Historical, Romance",TV,8.373990120884274
shingeki no kyojin kuinaki sentaku,"Action, Fantasy, Shoujo, Supernatural",OVA,8.265455244791665
steinsgate oukoubakko no poriomania,"Sci-Fi, Thriller",Special,8.348063639551073
fatestay night unlimited blade works 2nd season,"Action, Fantasy, Magic, Shounen, Supernatural",TV,8.362630770273721
kemono no souja erin,"Drama, Fantasy",TV,8.042614776810899
kizumonogatari i tekketsuhen,"Mystery, Supernatural, Vampire",Movie,8.277364197187714
neon genesis evangelion the end of evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,8.36637384052892
toradora,"Comedy, Romance, School, Slice of Life",TV,8.420738839286413
toki wo kakeru shoujo,"Adventure, Drama, Romance, Sci-Fi",Movie,8.377292039241311
tsubasa tokyo revelations,"Action, Adventure, Drama, Fantasy, Romance, Shounen",OVA,8.162198041233102
owarimonogatari,"Comedy, Mystery, Supernatural",TV,8.271155191016561
rurouni kenshin meiji kenkaku romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,8.348409294765197
stranger mukou hadan,"Action, Adventure, Historical, Samurai",Movie,8.291927095851765
detective conan movie 06 the phantom of baker street,"Adventure, Mystery, Police, Shounen",Movie,7.931031600890698
fatestay night unlimited blade works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,8.353056121600837
major s1,"Comedy, Drama, Shounen, Sports",TV,8.0529881448266
mobile suit gundam the origin,"Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,7.674644118030427
nanatsu no taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,8.365645488295328
natsume yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,8.335803074394137
one piece film strong world,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,8.2237615313134
higurashi no naku koro ni kai,"Mystery, Psychological, Supernatural, Thriller",TV,8.328943605244342
hunter x hunter ova,"Action, Adventure, Shounen, Super Power",OVA,8.115454929620586
hunter x hunter greed island final,"Action, Adventure, Shounen, Super Power",OVA,8.12727917148637
kuroshitsuji book of murder,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",OVA,8.169565309432057
major s2,"Comedy, Drama, Shounen, Sports",TV,7.950513505748862
one outs,"Psychological, Seinen, Sports",TV,8.210617163170836
beck,"Comedy, Drama, Music, Shounen, Slice of Life",TV,8.28369843737694
berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,8.322206446194812
cowboy bebop tengoku no tobira,"Action, Drama, Mystery, Sci-Fi, Space",Movie,8.275244397254525
major s3,"Drama, Shounen, Sports",TV,7.929253306681995
mobile suit gundam unicorn,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,8.043886416343629
natsume yuujinchou itsuka yuki no hi ni,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",OVA,7.9139669751760255
nhk ni youkoso,"Comedy, Drama, Psychological, Romance",TV,8.338971279022521
rose of versailles,"Adventure, Drama, Historical, Romance, Shoujo",TV,7.959324299314877
sakurasou no pet na kanojo,"Comedy, Drama, Romance, School, Slice of Life",TV,8.352927504303874
angel beats,"Action, Comedy, Drama, School, Supernatural",TV,8.36489766661456
bakemonogatari,"Mystery, Romance, Supernatural, Vampire",TV,8.352873973549576
bungou stray dogs 2nd season,"Mystery, Seinen, Supernatural",TV,8.193900929681513
hajime no ippo champion road,"Comedy, Shounen, Sports",Special,8.071363397758379
one piece film z,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,8.176493651148142
ouran koukou host club,"Comedy, Harem, Romance, School, Shoujo",TV,8.347714542503477
detective conan movie 13 the raven chaser,"Action, Mystery, Police, Shounen",Movie,7.798862857117239
durarara,"Action, Mystery, Supernatural",TV,8.347906643672152
nodame cantabile finale,"Comedy, Josei, Music, Romance",TV,8.14459991118303
planetes,"Drama, Romance, Sci-Fi, Seinen, Space",TV,8.221383469853105
shelter,"Music, Sci-Fi",Music,8.154645213959359
tenkuu no shiro laputa,"Adventure, Fantasy, Romance, Sci-Fi",Movie,8.266856493189197
gintama shiroyasha koutan,"Action, Comedy, Historical, Parody, Sci-Fi",Special,7.877265945229116
hachimitsu to clover ii,"Drama, Josei, Romance",TV,8.115347350770596
inuyasha kanketsuhen,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",TV,8.20361189478611
kaguyahime no monogatari,"Fantasy, Historical",Movie,8.041516602686741
katekyo hitman reborn,"Action, Comedy, Shounen, Super Power",TV,8.302475493533207
kuroshitsuji book of circus,"Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",TV,8.233491803032692
ookami to koushinryou,"Adventure, Fantasy, Historical, Romance",TV,8.317539565160418
boku no hero academia,"Action, Comedy, School, Shounen, Super Power",TV,8.29833676947649
gin no saji 2nd season,"Comedy, School, Shounen, Slice of Life",TV,8.12502507874447
little busters refrain,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,8.138868051477992
major message,"Comedy, Drama, Sports",OVA,7.533128279170499
saint seiya the lost canvas  meiou shinwa 2,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",OVA,7.87407173577858
sket dance,"Comedy, School, Shounen",TV,8.197327508578663
bakuman,"Comedy, Romance, Shounen",TV,8.280261800757438
danshi koukousei no nichijou,"Comedy, School, Shounen, Slice of Life",TV,8.283384034355084
kotonoha no niwa,"Drama, Psychological, Romance, Slice of Life",Movie,8.260250675962984
kyoukai no kanata movie i1ll be here  miraihen,"Fantasy, Slice of Life, Supernatural",Movie,8.091907852800293
major s4,"Comedy, Drama, Shounen, Sports",TV,7.872693182426133
omoide no marnie,"Drama, Mystery, Psychological",Movie,8.066423284865422
working lord of the takanashi,"Comedy, Romance, Slice of Life",Special,7.909512773191576
ghost in the shell,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,8.263510373169359
kon movie,"Comedy, Music, Slice of Life",Movie,8.197399487973785
kuroko no basket saikou no present desu,"Action, School, Shounen, Sports",Special,7.790344733031582
mahou shoujo lyrical nanoha the movie 2nd a1s,"Action, Comedy, Drama, Magic, Super Power",Movie,7.558947784072856
sennen joyuu,"Action, Adventure, Drama, Fantasy, Historical, Romance",Movie,8.078273649978229
steinsgate kyoukaimenjou no missing link  divide by zero,"Sci-Fi, Thriller",Special,7.966407629154849
xxxholic kei,"Comedy, Drama, Mystery, Psychological, Supernatural",TV,8.129286005495306
berserk ougon jidaihen iii  kourin,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural",Movie,8.09430147970966
death parade,"Drama, Game, Mystery, Psychological, Thriller",TV,8.285033170417883
fullmetal alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,8.30099476277722
gyakkyou burai kaiji ultimate survivor,"Game, Psychological, Seinen, Thriller",TV,8.1668959893385
hunter x hunter greed island,"Action, Adventure, Shounen, Super Power",OVA,8.063935999936387
redline,"Action, Cars, Sci-Fi, Sports",Movie,8.181163558818383
chihayafuru,"Drama, Game, Josei, Slice of Life, Sports",TV,8.215282911827412
detective conan movie 20 the darkest nightmare,"Action, Mystery, Police, Shounen",Movie,7.198080802689121
dragon ball z,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,8.274315108857797
fatestay night unlimited blade works  prologue,"Action, Fantasy, Magic, Shounen, Supernatural",Special,8.16811208311625
kokoro ga sakebitagatterunda,"Drama, Romance, School",Movie,8.06540283840201
mimi wo sumaseba,"Adventure, Drama, Fantasy, Romance, Slice of Life",Movie,8.150645148118848
nagi no asukara,"Drama, Fantasy, Romance",TV,8.244940542439295
neon genesis evangelion,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",TV,8.282677186730924
one piece film gold,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,7.693769821953046
tokyo godfathers,"Comedy, Drama",Movie,8.142062392141456
trigun,"Action, Comedy, Sci-Fi",TV,8.259854312317605
xxxholic rou,"Mystery, Supernatural",OVA,7.9359032255113044
gintama shinyaku benizakurahen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Special,7.563915717236019
mahou shoujo madokamagica movie 1 hajimari no monogatari,"Drama, Magic, Psychological, Thriller",Movie,8.130734023251799
sekaiichi hatsukoi 2,"Comedy, Drama, Romance, Shounen Ai",TV,8.087661082354215
yahari ore no seishun love comedy wa machigatteiru zoku,"Comedy, Drama, Romance, School",TV,8.234716572585453
yahari ore no seishun love comedy wa machigatteiru zoku ova,"Comedy, Romance, School",OVA,7.917398944378229
aria the natural,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,7.945153278308851
black lagoon the second barrage,"Action, Seinen",TV,8.218166325699721
clannad,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,8.269790699787677
kami nomi zo shiru sekai megamihen,"Comedy, Harem, Romance, Shounen, Supernatural",TV,8.185543176587451
summer wars,"Comedy, Sci-Fi",Movie,8.225240636856224
baccano specials,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",Special,8.132439841148416
detective conan movie 14 the lost ship in the sky,"Action, Mystery, Police, Shounen",Movie,7.714044356937974
gyakkyou burai kaiji hakairokuhen,"Game, Psychological, Seinen, Thriller",TV,8.023764794102812
initial d final stage,"Cars, Seinen, Sports",TV,7.696264899597695
kaiba,"Adventure, Mystery, Romance, Sci-Fi",TV,8.029223458086332
one piece episode of merry  mou hitori no nakama no monogatari,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,7.641672402538232
saiki kusuo no ψnan tv,"Comedy, School, Shounen, Supernatural",TV,7.9838660031438815
cardcaptor sakura movie 2 fuuin sareta card,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo",Movie,8.034375562102593
hajime no ippo mashiba vs kimura,"Comedy, Shounen, Sports",OVA,7.936206229486596
kamisama hajimemashita,"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural",TV,8.109965561613159
skip beat,"Comedy, Drama, Romance, Shoujo",TV,8.160670288192158
yowamushi pedal grande road,"Comedy, Drama, Shounen, Sports",TV,7.99417016399812
gankutsuou,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",TV,8.118860030788666
majo no takkyuubin,"Adventure, Comedy, Drama, Fantasy, Magic, Romance",Movie,8.164171940042097
nodame cantabile parishen,"Comedy, Josei, Music, Romance, Slice of Life",TV,8.056717074403872
one piece episode of nami  koukaishi no namida to nakama no kizuna,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,7.768791368494461
osomatsusan,"Comedy, Parody",TV,8.026941456648412
spacedandy 2nd season,"Comedy, Sci-Fi, Space",TV,8.026699679523821
tsumiki no ie,Drama,Movie,7.9566643451515455
detroit metal city,"Comedy, Music",OVA,8.111094425233684
eve no jikan,"Sci-Fi, Slice of Life",ONA,8.103110407067096
eve no jikan movie,"Sci-Fi, Slice of Life",Movie,8.03545850726992
kaichou wa maidsama,"Comedy, Romance, School, Shoujo",TV,8.217547834845755
saint seiya meiou hades juuni kyuuhen,"Adventure, Sci-Fi, Shounen",OVA,7.746434311026446
zankyou no terror,"Psychological, Thriller",TV,8.211676031933868
darker than black kuro no keiyakusha,"Action, Mystery, Sci-Fi, Super Power",TV,8.212355010588947
detective conan,"Adventure, Comedy, Mystery, Police, Shounen",TV,8.113620258127105
detective conan movie 05 countdown to heaven,"Adventure, Comedy, Mystery, Police, Shounen",Movie,7.764627293901986
diamond no ace,"Comedy, School, Shounen, Sports",TV,8.06359768759174
fairy tail 2014,"Action, Adventure, Comedy, Fantasy, Magic, Shounen",TV,8.185991037458164
hibike euphonium 2,"Drama, Music, School",TV,7.95382153173522
jojo no kimyou na bouken stardust crusaders,"Action, Adventure, Drama, Shounen, Supernatural",TV,8.119291605408058
maison ikkoku,"Comedy, Drama, Romance, Slice of Life",TV,7.713014497899619
non non biyori repeat,"Comedy, School, Seinen, Slice of Life",TV,8.028918789242713
shijou saikyou no deshi kenichi,"Action, Comedy, Martial Arts, School, Shounen",TV,8.12780300326757
yuushaou gaogaigar final,"Adventure, Drama, Mecha, Sci-Fi, Shounen",OVA,7.078543873513961
gekkan shoujo nozakikun,"Comedy, Romance, School",TV,8.184259879658267
initial d fourth stage,"Action, Cars, Drama, Seinen, Sports",TV,7.910088428939217
junjou romantica 2,"Comedy, Drama, Romance, Shounen Ai",TV,8.066540673202542
kaze tachinu,"Drama, Historical, Romance",Movie,8.041470347919763
kingdom,"Action, Historical, Military, Seinen",TV,7.975522479702357
kuragehime,"Comedy, Josei, Slice of Life",TV,8.096707769371529
magi the labyrinth of magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,8.188503217911865
mobile suit gundam 00,"Action, Drama, Mecha, Military, Sci-Fi, Space",TV,8.110283682689062
relife,"Romance, School, Slice of Life",TV,8.160465102586517
saint seiya the lost canvas  meiou shinwa,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",OVA,7.901947943056754
seirei no moribito,"Action, Adventure, Fantasy, Historical",TV,8.09527288873029
akatsuki no yona,"Action, Adventure, Comedy, Fantasy, Romance, Shoujo",TV,8.155956799266654
detective conan movie 08 magician of the silver sky,"Adventure, Comedy, Mystery, Police, Shounen",Movie,7.716137959910714
durararax2 ketsu,"Action, Mystery, Supernatural",TV,8.095784085899341
free eternal summer special,"Comedy, School, Slice of Life",Special,7.862373817577964
glass no kamen 2005,"Drama, Shoujo",TV,7.597967730465849
gosick,"Drama, Historical, Mystery, Romance",TV,8.160689058674528
hajime no ippo boxer no kobushi,"Comedy, Drama, Shounen, Sports",Special,7.664543503808538
initial d first stage,"Action, Cars, Drama, Seinen, Sports",TV,8.014184699188858
kill la kill,"Action, Comedy, School, Super Power",TV,8.19765049268172
lovelycomplex,"Comedy, Romance, Shoujo",TV,8.161508464295297
perfect blue,"Dementia, Drama, Horror, Psychological",Movie,8.098182723297256
princess tutu,"Comedy, Fantasy, Magic, Romance",TV,8.027472307674648
sakasama no patema,"Sci-Fi, Seinen",Movie,8.061221478879164
tsubasa shunraiki,"Action, Adventure, Drama, Fantasy, Magic, Mystery, Romance, Shounen, Supernatural",OVA,7.894283944173617
ashita no joe,"Drama, Sports",TV,7.551245758094831
fairy tail,"Action, Adventure, Comedy, Fantasy, Magic, Shounen",TV,8.191974020647953
ghost in the shell stand alone complex  solid state society,"Mecha, Military, Mystery, Police, Sci-Fi, Seinen",Special,7.962679492237571
magi sinbad no bouken tv,"Action, Adventure, Fantasy, Magic, Shounen",TV,8.019251964209312
shoujo kakumei utena,"Drama, Fantasy, Psychological, Shoujo",TV,8.028453618368914
tengen toppa gurren lagann movie gurrenhen,"Action, Comedy, Mecha",Movie,8.017919102126221
detective conan movie 10 requiem of the detectives,"Adventure, Comedy, Mystery, Police, Shounen",Movie,7.680132934759964
evangelion 10 you are not alone,"Action, Mecha, Sci-Fi",Movie,8.128857985960625
full metal panic fumoffu,"Action, Comedy, School",TV,8.118307308380855
ginga eiyuu densetsu arata naru tatakai no overture,"Action, Drama, Military, Sci-Fi, Space",Movie,7.431386254069461
kara no kyoukai 3 tsuukaku zanryuu,"Action, Drama, Mystery, Supernatural, Thriller",Movie,8.069916335776961
mobile suit gundam 00 second season,"Action, Drama, Mecha, Military, Sci-Fi, Space",TV,8.038321422325858
nisemonogatari,"Comedy, Mystery, Supernatural",TV,8.148578161318557
tsukimonogatari,"Comedy, Mystery, Supernatural",TV,8.07257818355806
ansatsu kyoushitsu tv,"Action, Comedy, School, Shounen",TV,8.148900282042211
aria the avvenire,"Fantasy, Sci-Fi, Shounen, Slice of Life",Special,7.331558230769312
baby steps 2nd season,"Romance, School, Shounen, Sports",TV,7.839865726145869
dgrayman,"Action, Adventure, Comedy, Shounen",TV,8.152131798412604
ginga eiyuu densetsu gaiden senoku no hoshi senoku no hikari,"Action, Military, Sci-Fi, Space",OVA,7.289322958269935
gintama jump festa 2014 special,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Special,7.491054966092552
lupin iii cagliostro no shiro,"Adventure, Comedy, Shounen",Movie,7.809823945662457
mobile suit gundam ironblooded orphans 2nd season,"Action, Drama, Mecha, Sci-Fi, Space",TV,7.663210486507217
ookiku furikabutte natsu no taikaihen,"Comedy, Sports",TV,7.6798351340824444
saiunkoku monogatari 2nd season,"Adventure, Comedy, Drama, Fantasy, Historical, Romance",TV,7.695306262771618
